site_code,transect,number_live,number_dead,cover_live,cover_dead,number_ANEL,algal_cover_per25sq,algal_prop_cover
FC,1,49,0,9.25,0,0,21,0.84
FC,1,45,4,11,0.5,0,20,0.8
FC,1,53,0,12,0,0,5.5,0.22
FC,1,48,1,9,0.15,0,2,0.08
FC,1,58,6,14.5,8.75,0,11.25,0.45
FC,1,60,6,13,0.75,0,3.5,0.14
FC,2,45,2,,,0,9,0.36
FC,2,65,3,,,0,8,0.32
FC,2,53,3,,,0,4.75,0.19
FC,2,8,9,,,0,2.75,0.11
FC,2,34,11,,,0,12.25,0.49
FC,2,37,16,,,0,5.75,0.23
FC,2,53,3,,,0,2.25,0.09
FC,2,24,13,,,0,8,0.32
FC,2,9,3,,,0,0,0
FC,2,81,15,,,0,6.5,0.26
FC,3,77,1,,,0,18.5,0.74
FC,3,61,1,,,0,13,0.52
FC,3,58,2,,,0,0.5,0.02
FC,3,67,4,,,0,3.5,0.14
FC,3,41,5,,,0,1,0.04
FC,3,71,11,,,0,12.75,0.51
FC,3,85,14,,,0,8,0.32
FC,3,68,5,,,0,5.5,0.22
FC,3,64,0,,,0,2.5,0.1
FC,3,57,1,,,0,0.5,0.02
SN,1,37,0,,,5,8.75,0.35
SN,1,93,0,,,8,13.75,0.55
SN,1,51,1,,,1,4.5,0.18
SN,1,88,1,,,0,8.25,0.33
SN,1,60,6,,,1,11,0.44
SN,1,42,1,,,0,21,0.84
SN,1,79,2,,,0,2.5,0.1
SN,1,44,2,,,0,10.25,0.41
SN,1,37,3,,,0,20,0.8
SN,1,30,2,,,0,17,0.68
SN,2,29,2,,,16,14,0.56
SN,2,16,0,,,11,15.75,0.63
SN,2,24,0,,,11,4.25,0.17
SN,2,52,4,,,1,5.75,0.23
SN,2,31,0,,,1,1.75,0.07
SN,2,33,2,,,1,5.25,0.21
SN,2,18,2,,,21,2.25,0.09
SN,2,28,0,,,0,3,0.12
SN,2,20,0,,,14,1.25,0.05
SN,2,10,0,,,9,11,0.44
SN,3,49,0,,,9,5,0.2
SN,3,70,4,,,2,2.25,0.09
SN,3,62,2,,,0,2,0.08
SN,3,54,2,,,0,3.25,0.13
SN,3,31,2,,,7,3,0.12
SN,3,27,2,,,6,5,0.2
SN,3,45,0,,,3,1.5,0.06
SN,3,53,2,,,0,2,0.08
SN,3,24,0,,,11,3,0.12
SN,3,83,0,,,6,2.75,0.11
CE,1,10,1,,,0,6,0.24
CE,1,4,0,,,0,2.5,0.1
CE,1,4,0,,,0,3.5,0.14
CE,1,15,0,,,0,3.5,0.14
CE,1,5,0,,,0,3.25,0.13
CE,1,6,0,,,0,9,0.36
CE,1,8,0,,,0,8.5,0.34
CE,1,3,1,,,0,4,0.16
CE,1,15,0,,,0,5.75,0.23
TP,1,58,0,24.25,0,0,6,0.24
TP,1,42,0,12.5,0,3,1.75,0.07
TP,1,8,2,1,0.5,4,3,0.12
TP,1,23,0,4.5,0,11,10.25,0.41
TP,1,15,0,1.75,0,3,7.5,0.3
TP,1,32,1,10,0.1,6,0.5,0.02
TP,1,14,0,2.5,0,22,6.5,0.26
TP,1,49,8,10.5,1,6,14.5,0.58
TP,1,21,0,5,0,10,2.5,0.1
TP,1,24,0,6.5,0,20,4,0.16
TP,2,12,1,3.75,2.25,28,8.25,0.33
TP,2,17,0,4.75,0,12,3.75,0.15
TP,2,14,1,10.25,0.5,2,6.25,0.25
TP,2,23,2,5.25,1.5,0,0.25,0.01
TP,2,16,0,6.25,0,0,1.75,0.07
TP,2,35,0,8,0,0,1,0.04
TP,2,30,0,8.75,0,0,14,0.56
TP,2,52,0,5.75,0,0,14.5,0.58
TP,2,30,0,6,0,0,5,0.2
TP,2,32,1,5.25,0.5,0,0.5,0.02
TP,3,22,0,6,0,0,4.75,0.19
TP,3,21,2,3.75,0.25,0,8,0.32
TP,3,49,0,12,0,0,0,0
TP,3,62,3,14,0.5,0,0.25,0.01
TP,3,36,0,4.5,0,12,4,0.16
TP,3,44,0,7.25,0,0,0.75,0.03
TP,3,64,0,12,0,5,0.25,0.01
TP,3,35,0,6.75,0,2,2,0.08
TP,3,39,0,9.5,0,0,2.25,0.09
TP,3,54,1,15.5,0.25,8,3.25,0.13
BO,1,10,0,7,0,0,0,0
BO,1,37,0,13.25,0,0,0,0
BO,1,54,2,22,0.5,0,0,0
BO,1,55,1,23,0.25,0,0,0
BO,1,25,2,9.5,1,0,0,0
BO,1,43,0,23.5,0,0,8,0.32
BO,1,35,20,6,3,0,8,0.32
BO,1,61,7,23,1.25,0,0,0
BO,1,64,0,21,0,0,4.5,0.18
BO,1,76,0,23,0,0,0.75,0.03
BO,2,17,0,19,0,0,6,0.24
BO,2,23,0,22.75,0,0,2,0.08
BO,2,33,0,22,0,0,0.5,0.02
BO,2,32,4,20.5,1,0,14.75,0.59
BO,2,32,4,19.5,1.5,0,19,0.76
BO,2,41,2,22.25,1,0,10.5,0.42
BO,2,29,1,22,1,0,9,0.36
BO,2,33,2,19,1.25,0,5.75,0.23
BO,2,26,2,9,0.5,0,15,0.6
BO,2,24,1,15.25,0.5,0,15.5,0.62
BO,3,28,0,8,0,0,18.5,0.74
BO,3,28,2,14.25,0.5,0,4.5,0.18
BO,3,13,0,7,0,0,6,0.24
BO,3,37,1,20,0.5,0,4,0.16
BO,3,27,1,19.5,0.75,0,6.5,0.26
BO,3,32,0,17,0,0,12.5,0.5
BO,3,29,0,14,0,0,11.75,0.47
BO,3,17,0,8.5,0,0,12,0.48
BO,3,17,0,7.5,0,0,17,0.68
BO,3,32,0,3.5,0,0,1.5,0.06
KE,1,27,11,3,6,0,0.5,0.02
KE,1,44,61,11,8.75,0,1,0.04
KE,1,85,3,19.5,0.5,0,0.75,0.03
KE,1,63,24,15.75,4.25,0,0.35,0.014
KE,1,95,5,20.25,0.5,0,0,0
KE,1,46,3,16,0.25,0,0.1,0.004
KE,1,27,5,17.5,1.5,0,0,0
KE,1,34,0,18,0,0,0.3,0.012
KE,1,23,1,15.25,0.5,0,13,0.52
KE,1,31,1,22,0.25,0,11,0.44
KE,2,62,6,17.5,0.5,0,6,0.24
KE,2,41,3,6.25,0.5,0,0,0
KE,2,19,0,5.75,0,0,0,0
KE,2,28,0,6,0,0,1,0.04
KE,2,65,0,15.25,0,0,1.5,0.06
KE,2,64,2,13,0.25,0,4.5,0.18
KE,2,82,2,20,0.75,0,0.5,0.02
KE,2,72,5,18.75,0.75,0,4.25,0.17
KE,2,62,1,13.5,0.25,8,0.5,0.02
KE,2,39,0,9,0,0,5,0.2
WBS,1,20,1,,,,,
WBS,1,25,1,,,,,
WBS,1,26,5,,,,,
WBS,1,22,3,,,,,
WBS,1,7,3,,,,,
WBS,1,43,1,,,,,
WBS,1,25,0,,,,,
WBS,1,13,5,,,,,
WBS,1,16,1,,,,,
WBS,1,18,1,,,,,
WBS,2,0,0,,,,,
WBS,2,31,1,,,,,
WBS,2,18,0,,,,,
WBS,2,50,2,,,,,
WBS,2,32,0,,,,,
WBS,2,31,1,,,,,
WBS,2,33,1,,,,,
WBS,2,24,2,,,,,
WBS,2,30,2,,,,,
WBS,2,16,0,,,,,
WBS,3,51,3,,,,,
WBS,3,29,6,,,,,
WBS,3,31,3,,,,,
WBS,3,42,2,,,,,
WBS,3,22,2,,,,,
WBS,3,60,1,,,,,
WBS,3,44,4,,,,,
WBS,3,46,1,,,,,
WBS,3,44,1,,,,,
WBS,3,41,1,,,,,
PL,1,38,0,,,,,
PL,1,35,2,,,,,
PL,1,22,1,,,,,
PL,1,53,7,,,,,
PL,1,22,0,,,,,
PL,1,29,1,,,,,
PL,1,33,1,,,,,
PL,1,24,3,,,,,
PL,1,46,1,,,,,
PL,1,70,6,,,,,
PL,2,45,1,,,,,
PL,2,29,6,,,,,
PL,2,19,0,,,,,
PL,2,49,1,,,,,
PL,2,43,7,,,,,
PL,2,46,2,,,,,
PL,2,65,2,,,,,
PL,2,51,2,,,,,
PL,2,56,2,,,,,
PL,2,14,2,,,,,
PL,3,14,0,,,,,
PL,3,19,0,,,,,
PL,3,49,2,,,,,
PL,3,36,1,,,,,
PL,3,48,8,,,,,
PL,3,12,0,,,,,
PL,3,30,2,,,,,
PL,3,55,5,,,,,
PL,3,33,2,,,,,
PL,3,54,2,,,,,
BB,1,45,1,,,,,
BB,1,27,4,,,,,
BB,1,0,29,,,,,
BB,1,18,0,,,,,
BB,1,0,10,,,,,
BB,1,0,24,,,,,
BB,1,15,29,,,,,
BB,1,3,25,,,,,
BB,1,0,0,,,,,
BB,1,6,7,,,,,
BB,2,22,3,,,,,
BB,2,26,11,,,,,
BB,2,27,6,,,,,
BB,2,44,9,,,,,
BB,2,42,16,,,,,
BB,2,25,2,,,,,
BB,2,7,14,,,,,
BB,2,0,8,,,,,
BB,2,10,1,,,,,
BB,2,0,11,,,,,
BB,3,0,0,,,,,
BB,3,0,0,,,,,
BB,3,0,4,,,,,
BB,3,0,0,,,,,
SP,1,9,4,,,,,
SP,1,10,5,,,,,
SP,1,43,10,,,,,
SP,1,5,3,,,,,
SP,1,36,9,,,,,
SP,1,32,8,,,,,
SP,1,4,0,,,,,
SP,1,7,7,,,,,
SP,1,9,4,,,,,
SP,1,43,18,,,,,
SP,2,8,3,,,,,
SP,2,9,4,,,,,
SP,2,0,1,,,,,
SP,2,14,15,,,,,
SP,2,11,13,,,,,
SP,2,45,27,,,,,
SP,2,64,10,,,,,
SP,2,66,38,,,,,
SP,2,21,17,,,,,
SP,2,1,4,,,,,
SP,3,11,9,,,,,
SP,3,9,3,,,,,
SP,3,12,4,,,,,
SP,3,14,5,,,,,
SP,3,17,10,,,,,
SP,3,9,10,,,,,
SP,3,1,1,,,,,
SP,3,13,8,,,,,
SP,3,12,13,,,,,
SP,3,10,3,,,,,
CP,1,14,4,,,,,
CP,1,39,9,,,,,
CP,1,1,1,,,,,
CP,1,31,16,,,,,
CP,1,19,26,,,,,
CP,1,12,5,,,,,
CP,1,35,7,,,,,
CP,1,19,9,,,,,
CP,1,5,1,,,,,
CP,1,19,5,,,,,
CP,2,0,1,,,,,
CP,2,5,1,,,,,
CP,2,4,3,,,,,
CP,2,53,14,,,,,
CP,2,24,14,,,,,
CP,2,72,18,,,,,
CP,2,10,4,,,,,
CP,2,13,3,,,,,
CP,2,37,19,,,,,
CP,2,38,12,,,,,
CP,3,6,5,,,,,
CP,3,5,18,,,,,
CP,3,3,17,,,,,
CP,3,0,0,,,,,
CP,3,7,11,,,,,
CP,3,3,6,,,,,
CP,3,5,4,,,,,
CP,3,15,20,,,,,
CP,3,0,1,,,,,
CP,3,15,15,,,,,
