site,plot,treatment,species,count,cover_square,cover_prop
SP,7,full,ralfsia,,0,0
SP,7,half,lottia_paradigitalis,5,,
SP,7,half,lottia_digitalis,26,,
SP,7,half,littorina_scut,13,,
SP,7,half,littorina_sit,0,,
SP,7,half,chthamalus,3,,
SP,7,half,semibalanus,78,,
SP,7,half,balanus,10,,
SP,7,half,mytilus_trossulus,18,,
SP,7,half,nucella_ostrina,2,,
SP,7,half,endocladia,,0,0
SP,7,half,fucus,,2.1,0.084
SP,7,half,ralfsia,,0,0
SP,7,half,lottia_pelta,2,,
