taxon_name,taxon_number,valid_name,taxon_code,genus,species,kingdom,phylum,class,order,family,authority
Nucella canaliculata,29,Nucella canaliculata,NUCA,Nucella,canaliculata,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,"Duclos, 1832"
Annelida 1,30,Annelida,ANN1,,,Animalia,,,,,
Annelida 2,31,Annelida,ANN2,,,Animalia,,,,,
Detonella papillicornis,32,Detonella papillicornis,DEPA,Detonella,papillicornis,Animalia,Arthropoda,Malacostraca,Isopoda,Detonidae,"Richardson, 1904"
Leptochitona dentiens,33,Cyanoplax dentiens,CYDE,Cyanoplax,dentiens,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,"A. Gould, 1846"
Nematoda,34,Nematoda,NEMA,,,Animalia,Nematoda,,,,
Cucumaria pseudocurata,35,Cucumaria pseudocurata,CUPS,Cucumaria,pseudocurata,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,"Deichmann, 1938"
Aribellidae,36,Oenonidae,OENO,,,Animalia,Annelida,Polychaeta,Eunicida,Oenonidae,"Kinberg, 1865"
Oedoperena sp.,37,Oedoparena,OESP,Oedoparena,,Animalia,Arthropoda,Insecta,Diptera,Dryomyzidae,
Pagurus hirsutiusculus,38,Pagurus hirsutiusculus,PAHI,Pagurus,hirsutiusculus,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,"Dana, 1851"
Hemigrapsus nudus,39,Hemigrapsus nudus,HENU,Hemigrapsus,nudus,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,"Dana, 1851"
Katharina tunicata,40,Katharina tunicata,KATU,Katharina,tunicata,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,"Wood, 1815"
Phascoloma agassizii,42,Phascolosoma agassizii,PHAG,Phascolosoma,agassizii,Animalia,Sipuncula,Phascolosomatidea,Phascolosomatida,Phascolosomatidae,"Keferstein, 1866"
Leptochiton rugatus,43,Leptochiton rugatus,LERU,Leptochiton,rugatus,Animalia,Mollusca,Polyplacophora,Lepidopleurida,Leptochitonidae,"Carpenter in Pilsbry, 1892"
Lottia scutum,44,Lottia scutum,LOSC,Lottia,scutum,Animalia,Mollusca,Gastropoda,,Lottidae,"Rathke, 1833"
Amiphopoda,45,Amiphopoda,AMPH,,,Animalia,Arthropoda,Malacostraca,Amphipoda,,"Latreille, 1816"
Balanus glandula,46,Balanus glandula,BAGL,Balanus,glandula,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,"Darwin, 1854"
Chthamalus dalli,47,Chthamalus dalli,CHDA,Chthamalus,dalli,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,"Pilsbry, 1916"
Corallina vancouveriensis,48,Corallina vancouveriensis,COVA,Corallina,vancouveriensis,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,"Yendo, 1902"
Endocladia muricata,49,Endocladia muricata,ENMU,Endocladia,muricata,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Endocladiaceae,"(Enlicher) J. Agardh, 1847"
Fucus distichus,50,Fucus distichus,FUDI,Fucus,distichus,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,"Linnaeus, 1767"
Hildenbrandia sp.,51,Hildenbrandia sp.,HISP,Hildenbrandia,,Plantae,Rhodophyta,Florideophyceae,Hildenbrandiales,Hildenbrandiaceae,"Nardo, 1834"
Isopoda,53,Isopoda,ISOP,,,Animalia,Arthropoda,Malacostraca,Isopoda,,"Latreille, 1817"
Mytilus sp.,54,Mytilus sp.,MYSP,Mytilus,,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,"Linnaeus, 1758"
Nereis vexillosa,55,Nereis vexillosa,NEVE,Nereis,vexillosa,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,"Grube, 1851"
Petrocelis sp.,56,Mastocarpus,PESP,Mastocarpus,,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,"Kútzing, 1843"
Polyplacophora,57,Polyplacophora,PESP,,,Animalia,Mollusca,Polyplacophora,,,"Gray, 1821"
Semibalanus cariosus,58,Semibalanus cariosus,SECA,Semibalanus,cariosus,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,"Pallass, 1788"
Ulothrix sp. ,59,Ulothrix sp. ,ULSP,Ulothrix,,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,"Kútzing, 1833"
Nucella lamellosa,60,Nucella lamellosa,NULA,Nucella,lamellosa,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,"Gmelin, 1791"
Ulva lactuca,61,Ulva lactuca,ULLA,Ulva,lactuca,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,"Linnaeus, 1753"
